Date,Price,MarketCap,TotalVolume,Stablecoin,Currency
2023-08-09,1856.8441445120409,223111331723,7498117030,,Ethereum
2023-08-10,1855.8907273266504,222992437544,6010104016,,Ethereum
2023-08-11,1850.876988699349,222411268370,3733537744,,Ethereum
2023-08-12,1847.541835114324,222019374228,3694816570,,Ethereum
2023-08-13,1848.505238656101,222069758272,2215986526,,Ethereum
2023-08-14,1839.512809542205,220948326523,3642424563,,Ethereum
2023-08-15,1843.5133910053464,221564238004,4495324729,,Ethereum
2023-08-16,1826.9131281594616,219472776850,4416612452,,Ethereum
2023-08-17,1809.4604742643007,217444475880,6472231164,,Ethereum
2023-08-17,1642.3139607054786,197418177213,17491618940,,Ethereum
2023-08-04,241.1437874544664,37132273836,390117777,,BNB
2023-08-05,241.4922075598172,37114346769,359584156,,BNB
2023-08-06,242.8819700099681,37367854737,251536722,,BNB
2023-08-07,242.57499805629087,37324600944,372359290,,BNB
2023-08-08,241.73842465058877,37176907148,410120374,,BNB
2023-08-09,245.17942748941837,37713239950,470639117,,BNB
2023-08-10,244.0103148283608,37541806213,401504275,,BNB
2023-08-11,241.2319119151888,37112194985,339047442,,BNB
2023-08-12,239.59582183259565,36864812015,363763402,,BNB
2023-08-13,240.0884451308951,36943552949,195205362,,BNB
2023-08-14,240.03079245155016,36913820931,230763796,,BNB
2023-08-15,240.3580561225457,36970232010,323212804,,BNB
2023-08-16,236.6072849676196,36440851751,480198153,,BNB
2023-08-17,232.0954857295837,35682968644,518075818,,BNB
2023-08-17,221.92161250851,34208562850,935779395,,BNB
2023-08-04,0.6642104250823613,35083597032,1277296653,,XRP
2023-08-05,0.6358100524337328,33547950040,1200556083,,XRP
2023-08-06,0.6284302339961231,33126867546,1002199104,,XRP
2023-08-07,0.6221532337189516,32768402681,771069752,,XRP
2023-08-08,0.6208379591018611,32710392083,1327007615,,XRP
2023-08-09,0.6426242001562646,33895961202,1375092164,,XRP
2023-08-10,0.6436052062261336,33977423508,1498394768,,XRP
2023-08-11,0.6332138416848744,33426764509,1063357974,,XRP
2023-08-12,0.631617580467985,33340650585,924970915,,XRP
2023-08-13,0.6270807267798834,33093472877,502921367,,XRP
2023-08-14,0.6256892005801732,33020932779,620939906,,XRP
2023-08-15,0.6346809011389943,33526777989,967305278,,XRP
2023-08-16,0.6093303800158635,32153506290,1200448874,,XRP
2023-08-17,0.5892528804005854,31112167895,1563955567,,XRP
2023-08-17,0.5150913667826096,26831825336,2487811192,,XRP
2023-08-04,0.0736420509648009,10364797280,434504375,,Dogecoin
2023-08-05,0.0734711515199936,10314695236,362395292,,Dogecoin
2023-08-06,0.0756030103532975,10615515707,539033839,,Dogecoin
2023-08-07,0.0741486998899473,10417875379,369057587,,Dogecoin
2023-08-08,0.0733744587854675,10308694505,398305731,,Dogecoin
2023-08-09,0.075010141400058,10540041723,374950347,,Dogecoin
2023-08-10,0.0753849179850733,10596774387,369748154,,Dogecoin
2023-08-11,0.0757591468384094,10641945541,399366004,,Dogecoin
2023-08-12,0.0757137265161053,10636295250,263740989,,Dogecoin
2023-08-13,0.0766963536289926,10774454527,385515900,,Dogecoin
2023-08-14,0.0747777495371326,10503954202,325530830,,Dogecoin
2023-08-15,0.0747643472233638,10515116058,433958600,,Dogecoin
2023-08-16,0.0708181359245061,9960603735,485736337,,Dogecoin
2023-08-17,0.0673124546238521,9467162719,540891262,,Dogecoin
2023-08-17,0.0621243008583072,8641978108,849697522,,Dogecoin
